Country Name,n_obs,year_start,year_end,m2_growth,inflation,gdp_growth
Afghanistan,15,2006,2020,0.024760041698327958,0.05290679795567747,0.056211774925260256
Albania,26,1995,2020,0.1163319457446694,0.044734599757509694,0.04057265985048671
Algeria,30,1991,2020,0.13149676727046894,0.07671492989343796,0.02473846896407738
Angola,25,1996,2020,0.586257956761795,0.5361882044276672,0.05186244166616362
Antigua and Barbuda,22,1999,2020,0.044283565925804874,0.017196936424732676,0.010682285229016647
Armenia,27,1994,2020,0.2611207546215988,0.2090867501284999,0.054559942388169226
Aruba,29,1991,2019,0.061801415476496084,0.02752835823881079,0.025370503376058513
Australia,30,1991,2020,0.08402381983896111,0.02345122948030272,0.028805297389684032
Azerbaijan,28,1993,2020,0.3450253862151881,0.29790050197144596,0.042077053614701675
"Bahamas, The",30,1991,2020,0.06401596616221568,0.02067571591334776,0.004584428813368883
Bahrain,25,1991,2015,0.09514582100612202,0.013709350824462093,0.04946146337174724
Bangladesh,30,1991,2020,0.14542837842839967,0.05910109671759352,0.053973129032794866
Barbados,27,1991,2019,0.06415071719440596,0.03028332588467033,0.006117569279790487
Belarus,26,1995,2020,0.43080450914590096,0.36246214588795345,0.03868298373566695
Belize,30,1991,2020,0.07895435892437892,0.015607776780832664,0.03183349929123445
Benin,28,1993,2020,0.09818258927294592,0.03841784718350091,0.04440155806661699
Bhutan,30,1991,2020,0.1692620170722228,0.06437985257033298,0.05345906084991737
Bolivia,30,1991,2020,0.14212578381485355,0.05792727566949316,0.033459374358706384
Bosnia and Herzegovina,15,2006,2020,0.08348489534119542,0.013277751681109014,0.021197159654978984
Botswana,30,1991,2020,0.135385378802345,0.07464217609559808,0.03438560955332821
Brazil,30,1991,2020,0.48922797626939557,0.4057747282169745,0.02172545223518263
Brunei Darussalam,21,2000,2020,0.04514383960014001,0.003648638628739024,0.0060263765545378704
Bulgaria,29,1992,2020,0.24221165415479373,0.22832731265472844,0.015447980519918612
Burkina Faso,30,1991,2020,0.1146123472720299,0.026964852172804043,0.05391169232649702
Burundi,30,1991,2020,0.14975853122591024,0.09751138415432933,0.015542558847514225
Cabo Verde,30,1991,2020,0.11148173784905388,0.027959404881939064,0.055871185458569644
Cambodia,26,1995,2020,0.21963862733232536,0.04206344185987728,0.07328713979514859
Cameroon,28,1991,2018,0.06779767491825504,0.03224471467248662,0.03052803486819184
Canada,18,1991,2008,0.07685827790157834,0.020872771964259948,0.025878014322759393
Central African Republic,30,1991,2020,0.06356636887518773,0.03777959726172823,0.0098299813718184
Chad,30,1991,2020,0.09776587232343086,0.0346230734490893,0.048054790551669294
Chile,30,1991,2020,0.13035261757920058,0.05037417736654793,0.04132539097356715
