model,outcome,term,coef,std_error,p_value,nobs,r2_within,r2_between,r2_overall
fe_controls_twfe,inflation,Intercept,0.024599289463694985,0.029814369129850162,0.40938386749711575,3535,0.41430924722812856,0.6665855886269195,0.4574128256420864
fe_controls_twfe,inflation,m2_growth,0.49880804645253857,0.1324459979374732,0.00016864524730664243,3535,0.41430924722812856,0.6665855886269195,0.4574128256420864
fe_controls_twfe,inflation,trade_open,0.0002860168508071379,0.0002471429903187686,0.24723503753341936,3535,0.41430924722812856,0.6665855886269195,0.4574128256420864
fe_controls_twfe,inflation,gdp_pc_growth,-0.006697802773400316,0.002227460142860923,0.0026586247793924933,3535,0.41430924722812856,0.6665855886269195,0.4574128256420864
fe_controls_twfe,inflation,pop_growth,-0.010014948421982826,0.005197568920389227,0.054082355257243586,3535,0.41430924722812856,0.6665855886269195,0.4574128256420864
fe_controls_twfe,inflation,investment_share,-0.0003387804410584203,0.0009846423019683444,0.7308193509831304,3535,0.41430924722812856,0.6665855886269195,0.4574128256420864
fe_controls_twfe,gdp_growth,Intercept,-0.002602705709188851,0.0016972497840200918,0.1252508588236314,3535,0.9706077118621621,0.9566891547230275,0.9701195379300049
fe_controls_twfe,gdp_growth,m2_growth,-0.0013073965078280322,0.0008822975207748326,0.13848497788998237,3535,0.9706077118621621,0.9566891547230275,0.9701195379300049
fe_controls_twfe,gdp_growth,trade_open,-8.23547445225713e-07,7.0016751306135945e-06,0.9063746170960376,3535,0.9706077118621621,0.9566891547230275,0.9701195379300049
fe_controls_twfe,gdp_growth,gdp_pc_growth,0.009940536549804714,0.00027884832878831786,0.0,3535,0.9706077118621621,0.9566891547230275,0.9701195379300049
fe_controls_twfe,gdp_growth,pop_growth,0.01092827014506203,0.0008489390841863895,0.0,3535,0.9706077118621621,0.9566891547230275,0.9701195379300049
fe_controls_twfe,gdp_growth,investment_share,-1.0053154502632888e-05,4.886054532615594e-05,0.8369971236066731,3535,0.9706077118621621,0.9566891547230275,0.9701195379300049
