model,outcome,coef_m2_growth,std_error_m2_growth,p_value_m2_growth,nobs
fe_controls_twfe,inflation,0.49880804645253857,0.1324459979374732,0.00016864524730664243,3535
fe_controls_twfe,gdp_growth,-0.0013073965078280322,0.0008822975207748326,0.13848497788998237,3535
iv_twfe_lag,inflation,1.496726961131978,0.21899939768345786,8.235634396669411e-12,3409
iv_twfe_lag,gdp_growth,-0.004007530442860401,0.00251504342469695,0.11106511512644834,3409
iv_countryfe_external,inflation,0.9800883714077073,0.08690598127243997,0.0,3535
iv_countryfe_external,gdp_growth,0.014042733474298172,0.015692002852808317,0.370841905397854,3535
iv_twfe_external,inflation,0.9816966306089322,0.24508469521785123,6.187587537254124e-05,3535
iv_twfe_external,gdp_growth,-0.03468415775455788,0.030951921941290334,0.2624659520308912,3535
