instrument,spec,coef,t_stat,approx_F_t2,p_value,nobs
instrument_m2_l1,twfe,0.24555320009636586,15.41903808551806,237.74673548265645,8.175115846302063e-52,3409
instrument_m2_l1,country_fe_only,0.26820934875132657,17.12237960602234,293.1758833727297,5.318879481286181e-63,3409
instrument_m2_external_level,twfe,-0.00021177880706465534,-3.316800733663056,11.001167106827786,0.0009206158742682202,3409
instrument_m2_external_level,country_fe_only,0.0001873847633049354,4.855617030816438,23.57701674995464,1.2565998110522859e-06,3409
