model,outcome,coef_m2_growth,std_error_m2_growth,p_value_m2_growth,nobs,r2
iv_countryfe_external,inflation,0.9800883714077073,0.08690598127243997,0.0,3535,0.27186966396388756
iv_countryfe_external,gdp_growth,0.014042733474298172,0.015692002852808317,0.370841905397854,3535,0.9688844497677238
