sample,countries,treated_countries,nobs,coef_m2_growth,p_m2_growth,coef_it_m2,p_it_m2,coef_post_treated_m2,p_post_treated_m2,implied_slope_it_pre,implied_slope_it_post
full,160,27,4749,0.8615009657591755,0.0,-0.011113034831472367,0.9144895238184121,-0.46052446748952375,1.2479639914797502e-06,0.850387930927703,0.3898634634381793
clean,123,19,3638,0.0929413679753529,9.412914891981927e-12,0.1864404518902578,0.004026215569210567,-0.24109849685922652,0.0003916923818787499,0.2793818198656107,0.03828332300638421
