outcome,horizon,instrument,coef_m2_growth,std_error,p_value,ci_low_95,ci_high_95,nobs,first_stage_t,first_stage_F_proxy,iv_r2
gdp_growth,0,instrument_m2_l1,-0.02375380541130067,0.026796297498562896,0.37537051310230285,-0.07627358342750468,0.028765972604903343,3409,2.4321664060892556,5.915433426909126,0.2633209842372122
gdp_growth,1,instrument_m2_l1,-0.01784848255066454,0.017754413550890878,0.3147532120180183,-0.05264649367704056,0.016949528575711477,3262,2.2150185491608165,4.906307173126488,0.2635506582315359
gdp_growth,2,instrument_m2_l1,-0.026266567725691914,0.019337793112263617,0.1743677993981434,-0.06416794576621532,0.011634810314831497,3118,1.7597638591254428,3.096768839884071,0.27416740416217733
gdp_growth,3,instrument_m2_l1,-0.0205114143987406,0.014492987426040688,0.1569908826602726,-0.04891714778217221,0.007894318984691007,2978,1.674036845898632,2.8023993614262404,0.2864701516540602
inflation,0,instrument_m2_l1,1.507687997369976,0.22717229962323154,3.2065239352618846e-11,1.0624384718233,1.952937522916652,3409,2.4321664060892556,5.915433426909126,-1.1768238875751176
inflation,1,instrument_m2_l1,0.6853028200038718,0.09191336766601847,8.926193117986259e-14,0.5051559296806872,0.8654497103270563,3262,2.2150185491608165,4.906307173126488,0.03776274053005668
inflation,2,instrument_m2_l1,0.309168214912356,0.07166580377898969,1.6030733082539328e-05,0.16870582058242173,0.4496306092422903,3118,1.7597638591254428,3.096768839884071,0.17219877284205376
inflation,3,instrument_m2_l1,0.10243429658058201,0.06769195092601422,0.1302182241748091,-0.030239489277658627,0.23510808243882264,2978,1.674036845898632,2.8023993614262404,0.31331118665542346
