outcome,horizon,instrument,coef_m2_growth,std_error,p_value,ci_low_95,ci_high_95,nobs,first_stage_t,first_stage_F_proxy,iv_r2
gdp_growth,0,instrument_m2_external_level,-0.11956473728315942,0.08448753952742856,0.15701690275601132,-0.2851572718993236,0.04602779733300477,3535,-1.996261079444281,3.985058297304046,0.0192018731992053
gdp_growth,1,instrument_m2_external_level,-0.02073278096906961,0.05504257635537021,0.7064202949637914,-0.12861424824189116,0.08714868630375196,3387,-2.0686037473735084,4.279121463647722,0.25566725322213335
gdp_growth,2,instrument_m2_external_level,-0.019037414182051293,0.052382684586739926,0.716284049542899,-0.12170558938558296,0.08363076102148037,3243,-2.1537530415961004,4.638652164184454,0.26752855419866084
gdp_growth,3,instrument_m2_external_level,-0.09787968865323649,0.0887719700198898,0.2702023074726909,-0.2718695527288899,0.07611017542241696,3102,-2.1135874812615976,4.467252040945744,0.09607906901968621
inflation,0,instrument_m2_external_level,1.0326539327021749,0.26608173726741463,0.00010404277739106682,0.511143310714193,1.5541645546901566,3535,-1.996261079444281,3.985058297304046,0.22559143059549647
inflation,1,instrument_m2_external_level,0.6571502447968811,0.22340021975108562,0.0032653952780485884,0.21929385994641964,1.0950066296473426,3387,-2.0686037473735084,4.279121463647722,0.25154392253483715
inflation,2,instrument_m2_external_level,0.5697167966257339,0.2519777703960302,0.023760471648424764,0.07584944174481173,1.0635841515066562,3243,-2.1537530415961004,4.638652164184454,-0.21243423596298294
inflation,3,instrument_m2_external_level,0.5450996164695425,0.2560388462985982,0.03325655062284527,0.04327269908110354,1.0469265338579814,3102,-2.1135874812615976,4.467252040945744,-0.6655666782322545
