model_name,outcome,term,coef,std_error,p_value,nobs,r2_within,r2_between,r2_overall
fe_winsorized,inflation,Intercept,0.011002793360992694,0.007640191251271088,0.1499097793065527,4292,0.3186325750874409,0.6820812206709232,0.42202799594169427
fe_winsorized,inflation,m2_growth,0.47183644136276826,0.05432967730350508,0.0,4292,0.3186325750874409,0.6820812206709232,0.42202799594169427
fe_winsorized,gdp_growth,Intercept,0.03195056490195577,0.001758044955341469,0.0,4292,0.006495549653366184,0.03298901151584388,0.011645122815724274
fe_winsorized,gdp_growth,m2_growth,0.020023224484374304,0.01250152148912064,0.10930720578013209,4292,0.006495549653366184,0.03298901151584388,0.011645122815724274
