period,outcome,coef_m2_growth,p_value_m2_growth,nobs,r2_within
pre_2006,inflation,0.7011616521830374,2.3074164801073493e-10,2160,0.5142781340549587
pre_2006,gdp_growth,-0.02059469833492972,0.024372876701934443,2160,0.01568881022171953
post_2006,inflation,0.07470280389475084,0.34528827638705994,2132,0.05558368444384487
post_2006,gdp_growth,0.023567070709780112,0.024573990661105993,2132,0.006160551066749842
