model,nobs,within_r2,coef_inflation_l1,p_inflation_l1,coef_output_gap_hp,p_output_gap_hp,coef_m2_growth,p_m2_growth
phillips_baseline,4102,0.548063418688945,0.5974149731647544,8.213989457495074e-07,-0.10434328615267531,0.3523958619521095,,
phillips_augmented,4102,0.6593799666708029,0.4658137985468522,3.8228601972889464e-07,-0.1529519737505607,0.10608205179183461,0.29245807747653424,0.0050443358930511994
