model,outcome,spec,coef_m2_growth,std_error_m2_growth,p_value_m2_growth,nobs,r2_within,r2,first_stage_stat,first_stage_p,partial_rsquared
fe_baseline_twfe,inflation,core,0.6649768179008227,0.17762901456195518,0.00018367307646594,4643,0.5041607739868159,,,,
fe_controls_restricted_twfe,inflation,core,0.6022357142245001,0.20692731090780386,0.0036338733959340175,3511,0.44384620937258423,,,,
fe_baseline_twfe,gdp_growth,core,-0.006215100932490385,0.010377221996466925,0.5492583179421984,4643,8.479236876934859e-05,,,,
fe_controls_restricted_twfe,gdp_growth,core,-0.00555606779565782,0.010222205106236308,0.5868017534109708,3511,0.04386072404186525,,,,
iv_twfe_lag,inflation,core,1.5784274614694631,0.28395471424508634,2.7174538841379103e-08,3388,,-0.707185527614087,5.7019318016019245,0.01694625133219263,0.08412002818678177
iv_twfe_lag,gdp_growth,core,-0.023590891052556406,0.028217121305610014,0.4031274373205789,3388,,0.2662369893462666,5.7019318016019245,0.01694625133219263,0.08412002818678177
iv_twfe_external,inflation,core,1.468078926042736,0.3619957559528881,5.0024134667925324e-05,3511,,-0.08586729906420665,5.586925472100802,0.018095030044501526,0.001601507595075491
iv_twfe_external,gdp_growth,core,-0.1864310802146676,0.13013832639126302,0.1519833575349785,3511,,-0.24054190775042983,5.586925472100802,0.018095030044501526,0.001601507595075491
