model,instrument,outcome,first_stage_stat,first_stage_p,partial_rsquared,shea_rsquared,dist,nobs
iv_twfe_lag,instrument_m2_l1,inflation,5.7019318016019245,0.01694625133219263,0.08412002818678177,0.08412002818678144,chi2(1),3388
iv_twfe_lag,instrument_m2_l1,gdp_growth,5.7019318016019245,0.01694625133219263,0.08412002818678177,0.08412002818678196,chi2(1),3388
iv_twfe_external,instrument_m2_external_level,inflation,5.586925472100802,0.018095030044501526,0.001601507595075491,0.0016015075950746348,chi2(1),3511
iv_twfe_external,instrument_m2_external_level,gdp_growth,5.586925472100802,0.018095030044501526,0.001601507595075491,0.0016015075950742298,chi2(1),3511
