model,rmse,mae,bias,n_holdout,n_countries_holdout,train_end_year
naive_ar1,0.07582550359114795,0.02748274478345738,0.0056209317284889905,721,151,2015
phillips,0.07575743039486743,0.02751296696981974,0.005539565844870919,721,151,2015
phillips_augmented,0.06351980987627923,0.029377028216824242,-0.0035451860793939897,721,151,2015
