outcome,horizon,instrument,coef_m2_growth,std_error,p_value,ci_low_95,ci_high_95,nobs,first_stage_stat,first_stage_p,partial_rsquared,iv_r2
gdp_growth,0,instrument_m2_l1,-0.02375380541130067,0.026796297498562896,0.37537051310230285,-0.07627454850848395,0.028766937685882607,3409,6.280877385523039,0.012204766018736213,0.06839880337606685,0.2633209842372122
inflation,0,instrument_m2_l1,1.507687997369976,0.22717229962323154,3.2065239352618846e-11,1.0624302901084421,1.9529457046315097,3409,6.280877385523039,0.012204766018736213,0.06839880337606685,-1.1768238875751176
inflation,1,instrument_m2_l1,0.6853028200038718,0.09191336766601847,8.926193117986259e-14,0.5051526193784756,0.865453020629268,3262,5.219096884035527,0.022340150226109357,0.06168542260758103,0.03776274053005668
inflation,2,instrument_m2_l1,0.309168214912356,0.07166580377898969,1.6030733082539328e-05,0.16870323950553623,0.4496331903191758,3118,3.301674379190908,0.06920930281276161,0.044733206476700316,0.17219877284205376
inflation,3,instrument_m2_l1,0.10243429658058201,0.06769195092601422,0.1302182241748091,-0.030241927234405858,0.23511052039556987,2978,2.994117822352954,0.08356741563748415,0.04188140815256436,0.31331118665542346
