outcome,horizon,instrument,coef_m2_growth,std_error,p_value,ci_low_95,ci_high_95,nobs,first_stage_stat,first_stage_p,p_value_holm
gdp_growth,0,instrument_m2_external_level,-0.19020665342651455,0.14468610382447125,0.18863902176271985,-0.47379141692247817,0.09337811006944907,3382,5.963170277510777,0.01460775149826099,0.18863902176271985
inflation,0,instrument_m2_external_level,1.2648438593531068,0.34058773294188416,0.0002042433300799562,0.5972919027870139,1.9323958159191998,3382,5.963170277510777,0.01460775149826099,0.0008169733203198248
inflation,1,instrument_m2_external_level,1.0242979479596954,0.3185419585072886,0.0013018006941867277,0.3999557092854098,1.648640186633981,3382,5.963170277510777,0.01460775149826099,0.003905402082560183
inflation,2,instrument_m2_external_level,0.9507955273024322,0.3442605353177742,0.005747509809772122,0.2760448780795949,1.6255461765252694,3382,5.963170277510777,0.01460775149826099,0.011495019619544244
inflation,3,instrument_m2_external_level,0.7582060705290132,0.30719558640491584,0.0135811808948616,0.15610272117537816,1.3603094198826482,3382,5.963170277510777,0.01460775149826099,0.0135811808948616
gdp_growth,0,instrument_m2_l1,-0.01574009955423339,0.03250022929363878,0.6281677685173721,-0.07944054896976539,0.047960349861298615,3382,16.2852981240128,5.448505057159547e-05,0.6281677685173721
inflation,0,instrument_m2_l1,1.2639364328776206,0.14587887002150202,0.0,0.9780138476354767,1.5498590181197645,3382,16.2852981240128,5.448505057159547e-05,0.0
inflation,1,instrument_m2_l1,0.6776954736129399,0.04100862255011665,0.0,0.5973185734147113,0.7580723738111685,3382,16.2852981240128,5.448505057159547e-05,0.0
inflation,2,instrument_m2_l1,0.3052515382863046,0.05518979644700501,3.1851645543312657e-08,0.19707953725017477,0.41342353932243436,3382,16.2852981240128,5.448505057159547e-05,6.370329108662531e-08
inflation,3,instrument_m2_l1,0.12267328933801847,0.06742461722507177,0.06884829961189509,-0.009478960423122212,0.25482553909915917,3382,16.2852981240128,5.448505057159547e-05,0.06884829961189509
