outcome,horizon,instrument,coef_m2_growth,std_error,p_value,ci_low_95,ci_high_95,nobs,first_stage_stat,first_stage_p,p_value_holm
gdp_growth,0,instrument_m2_external_level,-0.19020665342651455,0.14468610382447125,0.18863902176271985,-0.47379141692247817,0.09337811006944907,3382,5.963170277510777,0.01460775149826099,0.18863902176271985
inflation,0,instrument_m2_external_level,1.2648438593531068,0.34058773294188416,0.0002042433300799562,0.5972919027870139,1.9323958159191998,3382,5.963170277510777,0.01460775149826099,0.0008169733203198248
inflation,1,instrument_m2_external_level,1.0242979479596954,0.3185419585072886,0.0013018006941867277,0.3999557092854098,1.648640186633981,3382,5.963170277510777,0.01460775149826099,0.003905402082560183
inflation,2,instrument_m2_external_level,0.9507955273024322,0.3442605353177742,0.005747509809772122,0.2760448780795949,1.6255461765252694,3382,5.963170277510777,0.01460775149826099,0.011495019619544244
inflation,3,instrument_m2_external_level,0.7582060705290132,0.30719558640491584,0.0135811808948616,0.15610272117537816,1.3603094198826482,3382,5.963170277510777,0.01460775149826099,0.0135811808948616
