outcome,horizon,instrument,coef_m2_growth,std_error,p_value,ci_low_95,ci_high_95,nobs,first_stage_stat,first_stage_p,it_group
inflation,0,instrument_m2_external_level,0.8003675940801429,0.2825770963388655,0.004620194425613899,0.24651648525596648,1.3542187029043193,762,2.6143354107462984,0.10590188458725114,adopter
inflation,1,instrument_m2_external_level,0.8269717630397508,0.29162118811283166,0.004571479250587318,0.25539423433860076,1.3985492917409008,762,2.6143354107462984,0.10590188458725114,adopter
inflation,2,instrument_m2_external_level,0.7008530658522574,0.2628973949795592,0.007678695865262819,0.18557417169232127,1.2161319600121936,762,2.6143354107462984,0.10590188458725114,adopter
inflation,3,instrument_m2_external_level,0.5729871349822986,0.29455355577927883,0.051742107112044744,-0.004337834345087943,1.1503121043096851,762,2.6143354107462984,0.10590188458725114,adopter
inflation,0,instrument_m2_external_level,1.703300013367226,0.8363973435893496,0.04170295289460135,0.06396121993210091,3.342638806802351,2620,1.991765881043593,0.1581563633885632,never_adopter
inflation,1,instrument_m2_external_level,1.3042488674276456,0.7164126830147368,0.06867873848539063,-0.09991999128123852,2.7084177261365294,2620,1.991765881043593,0.1581563633885632,never_adopter
inflation,2,instrument_m2_external_level,1.2753521495254745,0.8219950187603806,0.12077407757362724,-0.33575808724487155,2.8864623862958205,2620,1.991765881043593,0.1581563633885632,never_adopter
inflation,3,instrument_m2_external_level,1.0069400319376882,0.6918429659343107,0.14554584764999867,-0.34907218129356066,2.362952245168937,2620,1.991765881043593,0.1581563633885632,never_adopter
