model,outcome,spec,coef_m2_growth,p_value_m2_growth,nobs,r2_within,r2
fe_baseline_twfe,inflation,core,0.5706189482078191,2.8348923730714404e-06,4292,0.4501098796726375,
fe_baseline_twfe,gdp_growth,core,-0.007960530669723588,0.3950934063791576,4292,0.0003673923236291454,
fe_controls_restricted_twfe,inflation,core,0.5027609530338526,0.00021142047701294686,3535,0.39711196181112907,
fe_controls_restricted_twfe,gdp_growth,core,-0.007174098421710886,0.39912601547219584,3535,0.03323869016461678,
iv_twfe_lag,inflation,core,1.5076879973699844,3.2065239352618846e-11,3409,,-1.1768238875751433
iv_twfe_lag,gdp_growth,core,-0.0237538054112945,0.3753705131024361,3409,,0.26332098423721784
iv_twfe_external,inflation,core,1.0326539327025717,0.00010404277739151091,3535,,0.22559143059502773
iv_twfe_external,gdp_growth,core,-0.11956473728331495,0.15701690275565938,3535,,0.019201873198532282
