Country Name,depth_base
Afghanistan,33.24119278206745
Albania,39.8326559478891
Algeria,46.728576163708496
Angola,36.4871300806511
Antigua and Barbuda,57.020223598014034
Armenia,42.447599318829944
Aruba,55.46010131740866
Australia,57.06866117198234
Azerbaijan,40.419165738340425
"Bahamas, The",49.388508584324896
Bahrain,57.7948275852486
Bangladesh,26.57227828437778
Barbados,54.24967388696756
Belarus,26.888983006525
Belize,30.2820253909411
Benin,26.779179688003055
Bhutan,28.644600465288818
Bolivia,38.99743745387296
Bosnia and Herzegovina,53.29851428817911
Botswana,23.64530509950162
Brazil,53.50614145798268
Brunei Darussalam,70.36321010631092
Bulgaria,71.14360443207474
Burkina Faso,20.5716655144885
Burundi,18.897017508300134
Cabo Verde,52.129872938601714
Cambodia,6.317785413109683
Cameroon,15.663555075794182
Canada,76.4298107162606
Central African Republic,18.8762799173605
Chad,12.201652172559818
Chile,35.834235224023544
China,93.51255616035466
Colombia,29.03435094520188
Comoros,13.81429030206252
"Congo, Dem. Rep.",15.198353279791592
"Congo, Rep.",17.92878558604952
Costa Rica,31.116877622070376
Cote d'Ivoire,27.11512920950086
Czechia,62.06121274100351
Denmark,57.205548203618136
Djibouti,70.978114713814
Dominica,54.6422679617451
Dominican Republic,21.129930363442305
Ecuador,17.29583194242538
"Egypt, Arab Rep.",84.45823452997814
El Salvador,38.65081195548818
Equatorial Guinea,12.292129632829564
Eswatini,23.4538239139724
Ethiopia,29.4846435047255
Fiji,54.037576905696255
Gabon,15.82770179252856
"Gambia, The",11.57478694647458
Georgia,7.73874480486522
Ghana,20.01604618256378
Grenada,57.502559229029224
Guatemala,21.512880281585858
Guinea,6.365775648966919
Guinea-Bissau,5.965975325508248
Guyana,63.18360681793875
Haiti,34.463698515146845
Honduras,26.1750491759395
"Hong Kong SAR, China",165.6596390167078
Hungary,49.74139103576882
Iceland,36.31383294613333
India,44.40250361744112
Indonesia,45.57047280348688
"Iran, Islamic Rep.",41.40929291307486
Iraq,30.91769242143345
Israel,59.25808542198776
Jamaica,49.65677183362084
Japan,189.5287279936132
Jordan,114.3694531275638
Kazakhstan,17.44195499714593
Kenya,36.96264701439324
"Korea, Rep.",34.041121089541136
Kosovo,47.6212346618399
Kuwait,113.38941151099196
Kyrgyz Republic,17.2018878792946
Lao PDR,11.683378235377743
Lebanon,119.9246189703232
Lesotho,33.32840749954894
Liberia,8.724620126477546
Libya,71.84418300275281
"Macao SAR, China",126.9437248563548
Madagascar,17.91031105724362
Malawi,14.75125811324744
Malaysia,101.64699306281628
Maldives,28.50559494054728
Mali,15.80965111044512
Mauritania,14.3487555269609
Mauritius,70.72548617673397
Mexico,24.17986596902598
"Micronesia, Fed. Sts.",49.0310545887258
Moldova,33.6126693073234
Mongolia,24.3420507633213
Montenegro,47.5786859366342
Morocco,52.29261865659544
Mozambique,20.477665313065295
Myanmar,29.557054585465902
Namibia,31.035724750701377
Nepal,34.80006906296582
New Zealand,71.86631254647435
Nicaragua,17.87221512052814
Niger,12.85015062277462
Nigeria,13.76176611133508
North Macedonia,31.37339090403667
Norway,56.49704611681282
Oman,24.4221731262058
Pakistan,43.18338256769896
Panama,50.72440762646862
Papua New Guinea,32.90347248297568
Paraguay,28.08985653667778
Peru,19.01534030352054
Philippines,37.29535449112474
Poland,31.46561402796582
Qatar,61.16995231347978
Romania,33.6921757950136
Russian Federation,46.72739136890452
Rwanda,16.4925390578195
Samoa,33.41079308937598
Sao Tome and Principe,13.8067699057663
Saudi Arabia,44.56240796317416
Senegal,17.11559756952662
Serbia,35.129809951556624
Seychelles,50.66380953647236
Sierra Leone,11.62123565490756
Singapore,85.40210006167811
Solomon Islands,25.30061578831984
South Africa,44.52071841201304
South Sudan,26.036443048120084
Sri Lanka,32.796945704569815
St. Kitts and Nevis,70.7312885052064
St. Lucia,49.34138101533114
St. Vincent and the Grenadines,60.46989025211012
Sudan,14.931935547305269
Suriname,63.60582360793417
Sweden,41.381264215589326
Switzerland,103.37524692392044
Syrian Arab Republic,56.40675039401553
Tajikistan,18.65229097721924
Tanzania,15.99522778459154
Thailand,82.01937389359398
Timor-Leste,33.859173352012085
Togo,22.60593508235728
Tonga,29.669835866410025
Trinidad and Tobago,41.861545549453425
Tunisia,46.76682095969208
Turkiye,26.97948065558856
Uganda,10.751632722296174
Ukraine,30.50053322092335
United Arab Emirates,34.22842537586922
United Kingdom,62.452527407980355
United States,63.92454447759648
Uruguay,40.5072573153202
Uzbekistan,18.437036908154727
Vanuatu,100.20783096046186
"Venezuela, RB",28.74045779489378
Viet Nam,20.71619039065343
West Bank and Gaza,73.77643791319237
"Yemen, Rep.",46.06164365976404
Zambia,16.421421090197427
Zimbabwe,21.33112895667014
