outcome,horizon,instrument,coef_m2_growth,std_error,p_value,ci_low_95,ci_high_95,nobs,first_stage_stat,first_stage_p,partial_rsquared,iv_r2
gdp_growth,0,instrument_m2_external_level,-0.11956473728315942,0.08448753952742856,0.15701690275601132,-0.2851603147569194,0.04603084019060055,3535,4.224306224320861,0.0398489070229171,0.002812735277975653,0.0192018731992053
inflation,0,instrument_m2_external_level,1.0326539327021749,0.26608173726741463,0.00010404277739106682,0.5111337276580422,1.5541741377463074,3535,4.224306224320861,0.0398489070229171,0.002812735277975653,0.22559143059549647
inflation,1,instrument_m2_external_level,0.6571502447968811,0.22340021975108562,0.0032653952780485884,0.21928581408475328,1.0950146755090089,3387,4.5438890346961065,0.03303645383649345,0.0029485432081651775,0.25154392253483715
inflation,2,instrument_m2_external_level,0.5697167966257339,0.2519777703960302,0.023760471648424764,0.07584036664951477,1.0635932266019532,3243,4.936008710587599,0.02630270658125533,0.0027217451623868794,-0.21243423596298294
inflation,3,instrument_m2_external_level,0.5450996164695425,0.2560388462985982,0.03325655062284527,0.04326347772429007,1.046935755214795,3102,4.764283587855911,0.029056149382147733,0.0025931249797426226,-0.6655666782322545
