outcome,horizon,instrument,coef_m2_growth,std_error,p_value,ci_low_95,ci_high_95,nobs,first_stage_stat,first_stage_p,partial_rsquared,iv_r2
gdp_growth,0,instrument_m2_l1,-0.02375380541130067,0.026796297498562896,0.37537051310230285,-0.07627454850848395,0.028766937685882607,3409,6.280877385523039,0.012204766018736213,0.06839880337606685,0.2633209842372122
gdp_growth,1,instrument_m2_l1,-0.02553813558696584,0.018808729802572945,0.1745331918652433,-0.062403246000008815,0.011326974826077134,3267,5.594039692678826,0.0180216876292959,0.06280733754349765,0.25640253942271796
gdp_growth,2,instrument_m2_l1,-0.03263980662206323,0.017402883216154925,0.060718447985870005,-0.06674945772572688,0.0014698444816004241,3126,5.183909106421943,0.02279697939901071,0.05999163289329845,0.26805620206251835
gdp_growth,3,instrument_m2_l1,-0.021456717824741123,0.011999622827475307,0.07375729133997999,-0.044975978566592724,0.0020625429171104784,2985,4.698390616811958,0.0301908753386414,0.05607440867140889,0.2854318019921024
inflation,0,instrument_m2_l1,1.507687997369976,0.22717229962323154,3.2065239352618846e-11,1.0624302901084421,1.9529457046315097,3409,6.280877385523039,0.012204766018736213,0.06839880337606685,-1.1768238875751176
inflation,1,instrument_m2_l1,0.7524919784276138,0.0796547627387428,0.0,0.596368643459678,0.9086153133955497,3267,5.594039692678826,0.0180216876292959,0.06280733754349765,-0.08299763359942292
inflation,2,instrument_m2_l1,0.41003628367462364,0.09946040218255074,3.746063246579112e-05,0.2150938953968242,0.604978671952423,3126,5.183909106421943,0.02279697939901071,0.05999163289329845,0.06740776983760743
inflation,3,instrument_m2_l1,0.15791587628294357,0.07513426090462949,0.03557233097326362,0.010652724909869765,0.30517902765601734,2985,4.698390616811958,0.0301908753386414,0.05607440867140889,0.2888799038951422
