outcome,horizon,instrument,coef_m2_growth,std_error,p_value,ci_low_95,ci_high_95,nobs,first_stage_stat,first_stage_p,partial_rsquared,iv_r2,is_sig_5pct,abs_coef
gdp_growth,0,instrument_m2_external_level,-0.11956473728315942,0.08448753952742856,0.15701690275601132,-0.2851603147569194,0.04603084019060055,3535,4.224306224320861,0.0398489070229171,0.002812735277975653,0.0192018731992053,False,0.11956473728315942
gdp_growth,1,instrument_m2_external_level,-0.022689698629406507,0.05448898761567909,0.6771108272750552,-0.1294881143561375,0.0841087170973245,3393,4.408206208020025,0.035766432003306425,0.002995664800230502,0.25421878223277505,False,0.022689698629406507
gdp_growth,2,instrument_m2_external_level,-0.020048449966893145,0.04886693040477617,0.6816106817836756,-0.11582763356025443,0.07573073362646814,3252,4.339346569943104,0.03724121343723241,0.0028773735269936873,0.2667586434164193,False,0.020048449966893145
gdp_growth,3,instrument_m2_external_level,-0.094107640110078,0.0852368478225526,0.26956178884275306,-0.2611718618422811,0.0729565816221251,3111,4.2243031975300385,0.03984897809822385,0.002716847109646592,0.10597518705788544,False,0.094107640110078
inflation,0,instrument_m2_external_level,1.0326539327021749,0.26608173726741463,0.00010404277739106682,0.5111337276580422,1.5541741377463074,3535,4.224306224320861,0.0398489070229171,0.002812735277975653,0.22559143059549647,True,1.0326539327021749
inflation,1,instrument_m2_external_level,0.6951118039462187,0.2084227812614568,0.0008526727885080909,0.2866031526737634,1.1036204552186741,3393,4.408206208020025,0.035766432003306425,0.002995664800230502,0.20656708849102678,True,0.6951118039462187
inflation,2,instrument_m2_external_level,0.5981380861763377,0.22717658987260184,0.008465395620662175,0.15287197002603808,1.0434042023266372,3252,4.339346569943104,0.03724121343723241,0.0028773735269936873,-0.199580906031968,True,0.5981380861763377
inflation,3,instrument_m2_external_level,0.5397567062342006,0.24962159686954977,0.030595082161584353,0.050498376369883025,1.0290150360985182,3111,4.2243031975300385,0.03984897809822385,0.002716847109646592,-0.5672511829018669,True,0.5397567062342006
gdp_growth,0,instrument_m2_l1,-0.02375380541130067,0.026796297498562896,0.37537051310230285,-0.07627454850848395,0.028766937685882607,3409,6.280877385523039,0.012204766018736213,0.06839880337606685,0.2633209842372122,False,0.02375380541130067
gdp_growth,1,instrument_m2_l1,-0.02553813558696584,0.018808729802572945,0.1745331918652433,-0.062403246000008815,0.011326974826077134,3267,5.594039692678826,0.0180216876292959,0.06280733754349765,0.25640253942271796,False,0.02553813558696584
gdp_growth,2,instrument_m2_l1,-0.03263980662206323,0.017402883216154925,0.060718447985870005,-0.06674945772572688,0.0014698444816004241,3126,5.183909106421943,0.02279697939901071,0.05999163289329845,0.26805620206251835,False,0.03263980662206323
gdp_growth,3,instrument_m2_l1,-0.021456717824741123,0.011999622827475307,0.07375729133997999,-0.044975978566592724,0.0020625429171104784,2985,4.698390616811958,0.0301908753386414,0.05607440867140889,0.2854318019921024,False,0.021456717824741123
inflation,0,instrument_m2_l1,1.507687997369976,0.22717229962323154,3.2065239352618846e-11,1.0624302901084421,1.9529457046315097,3409,6.280877385523039,0.012204766018736213,0.06839880337606685,-1.1768238875751176,True,1.507687997369976
inflation,1,instrument_m2_l1,0.7524919784276138,0.0796547627387428,0.0,0.596368643459678,0.9086153133955497,3267,5.594039692678826,0.0180216876292959,0.06280733754349765,-0.08299763359942292,True,0.7524919784276138
inflation,2,instrument_m2_l1,0.41003628367462364,0.09946040218255074,3.746063246579112e-05,0.2150938953968242,0.604978671952423,3126,5.183909106421943,0.02279697939901071,0.05999163289329845,0.06740776983760743,True,0.41003628367462364
inflation,3,instrument_m2_l1,0.15791587628294357,0.07513426090462949,0.03557233097326362,0.010652724909869765,0.30517902765601734,2985,4.698390616811958,0.0301908753386414,0.05607440867140889,0.2888799038951422,True,0.15791587628294357
